id,full_title,age,view_count,like_count,dislike_count,comment_count,artists
1023,Habtamu G/Tsadik - Ethiopia | ኢትዮጽያ - New Ethiopian Music 2018 (Official Video),570,72050,702,47,169,HABTAMU G/TSADIK
1024,Tombola Abebaw - Simish Yazefinal | ስምሽ ያዘፍናል - New Ethiopian Musc 2018 (Official Video),396,62234,776,61,271,TOMBOLA ABEBAW
1025,Amlake Setegn - Neylegn | ነይልኝ - New Ethiopian Music 2019 (Official Video),38,42172,453,35,93,AMLAKE SETEGN
1026,Getachew Addis - Malefiya | ማለፊያ - New Ethiopian Music 2019 (Official Video),245,67658,455,43,126,GETACHEW ADDIS
1027,Million Abebe - Meneya - New Ethiopian Music 2016 (Official Video),1152,174623,353,161,184,MILLION ABEBE
1028,Best New Ethiopian Music 2014  Amesyas Solomon (DJ Amy) - Alchelema,2110,63924,72,23,2,AMESYAS SOLOMON
1029,Efrem Gebremichael - Tadye | ታድዬ - New Ethiopian Music 2017 (Official Video),765,274110,1110,133,177,EFREM GEBREMICHAEL
1030,Mereid W/Semayat & Oleira Tariku - Erota | Borule - New Ethiopian Music 2019 (Official Video),35,16882,277,20,72,MEREID W/SEMAYAT
1031,Mereid W/Semayat & Oleira Tariku - Erota | Borule - New Ethiopian Music 2019 (Official Video),35,16882,277,20,72,OLEIRA TARIKU
1032,Bisrat Teklu - Anteye  | አንተዬ - New Ethiopian Music (Official Video),1061,31754,160,23,69,BISRAT TEKLU
1033,Meaza Yohannes - Siye Bereka | ስየ በረካ - New Ethiopian Music 2017 (Official Video),940,1102582,3517,521,719,MEAZA YOHANNES
1034,Sintayehu Fantu - Tekes | ጠቀስ - New Ethiopian Music 2018 (Official Video),357,75941,463,49,94,SINTAYEHU FANTU
1035,Ashenafi Legesse - Enja | እንጃ - New Ethiopian Music 2016 (Official Video),1093,572124,1113,218,315,ASHENAFI LEGESSE
1036,Fikir Yitagesu - Weta Geba | ወጣ ገባ - New Ethiopian Music 2018 (Official Video),509,443075,2230,190,349,FIKIR YITAGESU
1037,New Hot Ethiopian Music 2014  Mahlet Demere - Habesh,2113,162045,334,44,38,MAHLET DEMERE
1038,Yemane Birhane - HOJERITA -  New Ethiopian Music 2016 (Official Video),1186,52384,176,21,79,YEMANE BIRHANE
1039,Zinash Tsegaye - Tiragn Adama | ጥራኝ አዳማ - New Ethiopian Music 2019 (Official Video),305,46466,427,58,168,ZINASH TSEGAYE
1040,Yidne Oslo & Bini - Maleda | ማለዳ - New Ethiopian Music 2018 (Official Video),533,2031255,3538,649,372,YIDNE OSLO
1041,Yidne Oslo & Bini - Maleda | ማለዳ - New Ethiopian Music 2018 (Official Video),533,2031255,3538,649,372,BINI
1042,Tadesse Eyayu - Jano | ጃኖ - New Ethiopian Music 2018 (Official Video),376,141957,964,101,353,TADESSE EYAYU
1043,Suk Suke - Dunba Dunba | ዱንባ ዱንባ - New Ethiopian Music 2018 (Official Video),528,31815,247,30,121,SUK SUKE
1044,Ziggy Zaga - Yihew Metach | ይሄው መጣች - New Ethiopian Music 2019 (Official Video),99,113078,1783,70,322,ZIGGY ZAGA
1045,Addis Gurmesa - Fikir Bezebezegn | ፍቅር በዘበዘኝ - New Ethiopian Music 2017 (Official Video),1004,359420,1126,147,296,ADDIS GURMESA
1046,Dawit Alemayehu - Betizitash - New Ethiopian Music 2016 (Official Video),1143,1593356,5979,538,1277,DAWIT ALEMAYEHU
